Learning rate,Dataset,Dataset size,Model,Activation,Accuracy,Error
0.01,clothes,1.0,3.0, elu,0.619285702705,2.81600689888
0.01,clothes,0.1,3.0, elu,0.535285711288,4.81036424637
0.001,clothes,100.0,3.0, elu,0.746285736561,0.92618393898
0.001,clothes,10.0,3.0, elu,0.75,1.16291117668
0.001,clothes,1.0,3.0, elu,0.70242857933,1.09082520008
0.001,clothes,0.1,3.0, elu,0.549714267254,2.40698385239
0.0001,clothes,100.0,3.0, elu,0.763999998569,1.16360759735
0.0001,clothes,10.0,3.0, elu,0.740999996662,1.05200600624
0.0001,clothes,1.0,3.0, elu,0.735000014305,1.99673032761
0.0001,clothes,0.1,3.0, elu,0.306571424007,3.35771656036
0.1,clothes,100.0,3.0, sigmoid,0.142857134342,1.9670612812
0.01,clothes,100.0,3.0, sigmoid,0.680000007153,2.72062706947
0.01,clothes,10.0,3.0, sigmoid,0.649428606033,2.98615860939
0.01,clothes,1.0,3.0, sigmoid,0.656428575516,1.93512928486
0.01,clothes,0.1,3.0, sigmoid,0.27371430397,1.89113748074
0.001,clothes,100.0,3.0, sigmoid,0.761571407318,1.04999864101
0.001,clothes,10.0,3.0, sigmoid,0.751428544521,0.998660981655
0.001,clothes,1.0,3.0, sigmoid,0.386999994516,1.58105301857
0.001,clothes,0.1,3.0, sigmoid,0.187999993563,2.44706273079
0.0001,clothes,100.0,3.0, sigmoid,0.751285731792,0.918374538422
0.0001,clothes,10.0,3.0, sigmoid,0.5092856884,1.4278575182
0.0001,clothes,1.0,3.0, sigmoid,0.142857134342,2.76491546631
0.0001,clothes,0.1,3.0, sigmoid,0.142857134342,3.52473974228
