learning_rate: 0.01, training_size: 2000, batch_size: 50, num_epochs: 200, dataset_type: 1, dataset_size: 0.1, model_type: 2, exp_name: baseline, activation: sigmoid
val_loss,val_acc,loss,acc
1.45525573,0.59314286,0.00371951,1.00000000
1.45571275,0.59342857,0.00369266,1.00000000
1.45632328,0.59328572,0.00366622,1.00000000
1.45719777,0.59314286,0.00364015,1.00000000
1.45789927,0.59314286,0.00361447,1.00000000
1.45806438,0.59300000,0.00358914,1.00000000
1.45801634,0.59300000,0.00356419,1.00000000
1.45828223,0.59285715,0.00353960,1.00000000
1.45886141,0.59228572,0.00351532,1.00000000
1.45944763,0.59257143,0.00349139,1.00000000
1.45998350,0.59228572,0.00346779,1.00000000
1.46055091,0.59228572,0.00344444,1.00000000
1.46113451,0.59242857,0.00342148,1.00000000
1.46179387,0.59242857,0.00339881,1.00000000
1.46259794,0.59242857,0.00337642,1.00000000
1.46329200,0.59228572,0.00335432,1.00000000
1.46360711,0.59228572,0.00333252,1.00000000
1.46382477,0.59228572,0.00331092,1.00000000
1.46438845,0.59228572,0.00328967,1.00000000
1.46516864,0.59214286,0.00326869,1.00000000
1.46579009,0.59214286,0.00324797,1.00000000
1.46629852,0.59185715,0.00322749,1.00000000
1.46689136,0.59214286,0.00320725,1.00000000
1.46746068,0.59214286,0.00318730,1.00000000
1.46788195,0.59200000,0.00316750,1.00000000
1.46829628,0.59185715,0.00314801,1.00000000
1.46878376,0.59185715,0.00312873,1.00000000
1.46922050,0.59185715,0.00310970,1.00000000
1.46956442,0.59171429,0.00309088,1.00000000
1.46993268,0.59171429,0.00307230,1.00000000
1.47039825,0.59171429,0.00305391,1.00000000
1.47090708,0.59171429,0.00303575,1.00000000
1.47134947,0.59185715,0.00301777,1.00000000
1.47170002,0.59185715,0.00300003,1.00000000
1.47210277,0.59200000,0.00298246,1.00000000
1.47266146,0.59200000,0.00296508,1.00000000
1.47322782,0.59200000,0.00294791,1.00000000
1.47366132,0.59200000,0.00293094,1.00000000
1.47408200,0.59200000,0.00291415,1.00000000
1.47458678,0.59185715,0.00289755,1.00000000
1.47505956,0.59185715,0.00288111,1.00000000
1.47546086,0.59185715,0.00286487,1.00000000
1.47589053,0.59185715,0.00284879,1.00000000
1.47631822,0.59171429,0.00283289,1.00000000
1.47666993,0.59171429,0.00281715,1.00000000
1.47705851,0.59171429,0.00280158,1.00000000
1.47755495,0.59157143,0.00278618,1.00000000
1.47800415,0.59157143,0.00277094,1.00000000
1.47833871,0.59157143,0.00275586,1.00000000
1.47872186,0.59128572,0.00274093,1.00000000
1.47921933,0.59128572,0.00272616,1.00000000
1.47969375,0.59128572,0.00271153,1.00000000
1.48008646,0.59128572,0.00269707,1.00000000
1.48049015,0.59114286,0.00268275,1.00000000
1.48093713,0.59114286,0.00266854,1.00000000
1.48137272,0.59128572,0.00265451,1.00000000
1.48179341,0.59128572,0.00264060,1.00000000
1.48224171,0.59142857,0.00262685,1.00000000
1.48269516,0.59142857,0.00261322,1.00000000
1.48310638,0.59142857,0.00259974,1.00000000
1.48351091,0.59157143,0.00258639,1.00000000
1.48395571,0.59157143,0.00257315,1.00000000
1.48440334,0.59142857,0.00256007,1.00000000
1.48480712,0.59157143,0.00254709,1.00000000
1.48519667,0.59142857,0.00253427,1.00000000
1.48559887,0.59142857,0.00252151,1.00000000
1.48600829,0.59142857,0.00250893,1.00000000
1.48643890,0.59142857,0.00249646,1.00000000
1.48688951,0.59128572,0.00248408,1.00000000
